budget,runtime,year,vote_average,popularity,core_actor,actor_avg_age,month,profitable,Drama,Horror,company_freq,google_trend
0.2526,-1.4559,1.193,0.9966,9.4392,-0.3798,-0.6477,1.4271,1,-0.7589,-0.4822,-1.3213,0.9962
1.0336,0.1867,1.193,0.5635,3.975,1.6122,-0.9371,1.4271,1,-0.7589,-0.4822,0.755,0.9962
-0.44,-0.4414,1.193,0.3942,3.6654,5.5393,-0.72,1.4271,1,-0.7589,-0.4822,0.755,1.9101
-0.2927,1.3944,1.193,1.4326,3.4427,0.73,0.872,1.4271,1,-0.7589,-0.4822,0.755,0.9962
2.2126,0.5248,1.193,-0.0008,2.4417,0.8154,0.1484,1.4271,1,-0.7589,-0.4822,0.755,1.9101
-0.5874,-0.3931,1.193,0.6298,1.126,-0.4367,-0.7924,1.4271,1,1.3145,-0.4822,0.755,1.4024
-0.5741,0.9113,1.193,1.1574,0.4249,0.5877,-0.6477,1.4271,1,1.3145,-0.4822,0.755,1.9101
0.5915,0.863,1.193,-0.4283,0.2404,-0.4083,-1.2266,1.4271,0,1.3145,-0.4822,0.755,1.4024
-0.219,0.5248,1.193,0.8076,-0.0747,-0.6075,0.7997,1.4271,1,1.3145,-0.4822,0.755,3.7378
0.5915,1.3461,1.193,0.2757,-0.271,-0.3798,2.1746,1.4271,0,1.3145,-0.4822,0.755,3.7378
-0.5727,-0.7312,1.193,-0.8374,-0.5005,-0.6075,-0.6477,1.4271,0,1.3145,-0.4822,0.755,0.8947
-0.2485,1.3461,1.193,-0.8374,-0.5859,-0.9205,-0.2858,1.4271,0,1.3145,-0.4822,-1.3213,0.9962
-0.6611,-0.5863,1.193,-1.3749,-0.6926,-0.8351,-1.299,1.4271,0,1.3145,-0.4822,-1.3213,0.9962
-0.5874,2.7471,1.193,2.8306,-0.6996,-1.0628,0.2207,1.4271,1,-0.7589,-0.4822,-1.3213,0.8947
4.202,1.3944,1.193,0.4732,3.47,3.2627,0.7997,-0.5623,1,-0.7589,-0.4822,0.755,0.387
0.6652,1.2978,1.193,2.224,1.9163,-0.1806,-0.6477,-0.5623,1,-0.7589,-0.4822,0.755,1.4024
2.8757,1.7809,1.193,1.6667,1.1057,-0.1806,0.4378,-0.5623,1,-0.7589,-0.4822,0.755,0.0824
3.5683,1.0562,1.193,-0.5708,0.6542,-0.4652,2.3917,-0.5623,1,-0.7589,-0.4822,0.755,0.387
0.2231,-0.9728,1.193,-0.7485,0.0088,0.7585,0.2931,-0.5623,0,-0.7589,-0.4822,0.755,0.0824
-0.3664,0.2833,1.193,0.1501,-0.0264,-0.0099,-0.9371,-0.5623,0,-0.7589,-0.4822,-1.3213,0.4885
-0.191,-0.6829,1.193,-0.4762,-0.3388,-0.7213,-1.0095,-0.5623,1,-0.7589,2.069,0.755,1.4024
-0.6758,-0.4414,1.193,-0.2505,-0.578,-0.579,0.4378,-0.5623,1,1.3145,-0.4822,0.755,0.0824
-0.3796,-1.1177,1.193,-0.8783,-0.6121,0.7585,1.3062,-0.5623,0,-0.7589,-0.4822,0.755,0.4885
-0.5137,-0.2481,1.193,-0.5552,-0.6146,0.3316,2.8259,-0.5623,1,-0.7589,-0.4822,0.755,0.0824
-0.7834,-0.0066,1.193,-1.5428,-0.7721,-1.5466,-2.095,-0.5623,0,1.3145,-0.4822,-1.3213,0.0824
2.0652,0.6698,1.193,0.7145,2.6156,-1.0059,0.0036,-0.2781,1,-0.7589,-0.4822,0.755,0.7931
2.1389,-0.538,1.193,1.2167,1.8605,-1.262,0.076,-0.2781,1,-0.7589,-0.4822,0.755,1.3008
2.4336,1.491,1.193,-0.0558,1.6638,-0.4936,-0.3582,-0.2781,1,-0.7589,-0.4822,0.755,1.3008
3.5344,2.0225,1.193,-0.2731,0.6319,0.5593,1.3786,-0.2781,1,-0.7589,-0.4822,-1.3213,0.8947
0.2231,-1.0694,1.193,0.7046,0.3468,-0.6644,0.9444,-0.2781,0,-0.7589,-0.4822,0.755,0.8947
-0.6316,-0.3448,1.193,1.4199,0.1669,-0.6644,0.0036,-0.2781,1,1.3145,-0.4822,0.755,1.4024
-0.1453,-0.4414,1.193,0.0542,-0.045,0.7869,-0.5753,-0.2781,1,-0.7589,-0.4822,0.755,1.3008
-0.44,-0.3931,1.193,-0.4184,-0.2289,2.4375,0.5826,-0.2781,1,1.3145,-0.4822,-1.3213,0.7931
-0.5137,-0.8762,1.193,0.0486,-0.4555,0.1609,0.5102,-0.2781,0,-0.7589,-0.4822,0.755,1.0978
-0.7348,-0.7796,1.193,-1.0589,-0.5941,-1.1482,-0.3582,-0.2781,1,-0.7589,2.069,-1.3213,1.3008
-0.5432,0.4765,-1.537,0.1149,-0.4979,-0.1237,-0.1411,-0.2781,0,1.3145,-0.4822,-1.3213,-0.8315
-0.5049,-0.4897,-1.537,-2.5304,-0.6033,0.5877,0.7273,-0.2781,0,1.3145,-0.4822,0.755,-0.8315
-0.7642,-0.2965,0.283,0.579,0.3569,-0.9774,-1.0095,0.2903,1,-0.7589,-0.4822,0.755,0.1839
0.5178,0.6215,0.283,0.9628,0.209,0.6162,-0.1411,0.2903,1,-0.7589,-0.4822,0.755,0.5901
-0.6021,-0.8762,0.283,0.0345,0.0533,-0.6359,-0.4306,0.2903,1,1.3145,-0.4822,0.755,-0.5269
0.0757,-0.2481,0.283,0.1332,-0.3252,0.4454,1.0168,0.2903,0,1.3145,-0.4822,0.755,-0.5269
-0.779,-0.7796,0.283,-0.0784,-0.3684,-0.1806,-0.8648,0.2903,1,1.3145,-0.4822,-1.3213,0.1839
-0.6611,-0.3931,0.283,-0.8755,-0.4613,-0.6929,0.2207,0.2903,1,1.3145,2.069,0.755,-0.5269
-0.7642,-0.9245,0.283,-0.6766,-0.5433,-0.9205,-1.0819,0.2903,1,-0.7589,2.069,0.755,0.5901
-0.5579,-0.8279,0.283,-1.1196,-0.6593,-1.262,-1.0095,0.2903,0,-0.7589,-0.4822,-1.3213,0.5901
1.0926,0.1383,1.193,-0.2971,1.1526,3.2627,-0.0687,0.2903,1,-0.7589,2.069,0.755,2.0116
0.2231,-0.1998,1.193,0.8132,0.8356,0.9008,0.1484,0.2903,1,-0.7589,-0.4822,0.755,0.387
0.0757,1.0562,1.193,1.5017,0.7136,-0.1237,0.0036,0.2903,1,1.3145,-0.4822,0.755,1.3008
0.7242,0.7181,1.193,0.0161,0.4994,-1.1766,-1.1542,0.2903,1,-0.7589,-0.4822,0.755,0.5901
-0.5137,-1.0694,1.193,-0.0587,0.2579,1.1,0.4378,0.2903,0,-0.7589,-0.4822,-1.3213,0.387
-0.1306,-0.9728,1.193,0.816,0.1733,-0.1806,0.872,0.2903,0,-0.7589,-0.4822,0.755,0.5901
-0.1453,0.2833,1.193,0.215,0.1644,-0.579,0.076,0.2903,0,-0.7589,2.069,-1.3213,1.3008
-0.6419,-1.0694,1.193,-0.0967,-0.3349,-1.0628,-1.0095,0.2903,1,-0.7589,-0.4822,-1.3213,0.387
-0.8033,-0.9728,1.193,-3.367,-0.4727,-1.4897,-2.3121,0.2903,0,-0.7589,2.069,-1.3213,0.387
-0.7642,-1.0211,1.193,-0.8374,-0.7104,-1.1197,-0.8648,0.2903,0,1.3145,-0.4822,-1.3213,0.387
-0.219,0.2833,-0.627,1.1377,1.0556,3.2627,0.872,-0.8465,1,-0.7589,-0.4822,0.755,-0.6284
-0.5137,-0.1515,-0.627,0.3646,0.0875,-1.0343,-0.1411,-0.8465,1,-0.7589,-0.4822,0.755,-1.0346
-0.5137,-0.2481,-0.627,-1.1421,-0.4663,0.047,-0.6477,-0.8465,0,-0.7589,-0.4822,-1.3213,-1.0346
-0.8048,-1.6975,-0.627,0.5833,-0.6672,-0.8067,-0.72,-0.8465,0,1.3145,-0.4822,-1.3213,-0.9331
-0.709,-0.0549,-0.627,-1.966,-0.7861,-0.5506,1.5957,-0.8465,0,1.3145,-0.4822,-1.3213,-0.9331
-0.5137,-0.5863,-0.627,-3.3768,-0.7978,-1.5181,-0.4306,-0.8465,0,-0.7589,-0.4822,-1.3213,-1.0346
2.1389,1.0079,-0.627,0.658,0.4898,2.4375,-0.2135,0.0061,1,-0.7589,-0.4822,0.755,0.387
1.9178,0.9113,-0.627,1.0375,0.4152,0.9292,0.1484,0.0061,0,-0.7589,-0.4822,0.755,-0.4254
1.4021,0.09,-0.627,0.0091,-0.0791,-0.3798,-0.1411,0.0061,1,-0.7589,-0.4822,0.755,0.387
2.1389,0.6698,-0.627,0.8386,-0.1173,0.73,0.3655,0.0061,1,-0.7589,-0.4822,0.755,-0.4254
-0.5432,-0.2481,-0.627,-0.6089,-0.2551,-0.579,0.4378,0.0061,1,-0.7589,2.069,0.755,-0.3238
-0.5137,1.2495,-0.627,-0.2124,-0.3625,0.9861,0.076,0.0061,0,1.3145,-0.4822,-1.3213,-0.4254
-0.3664,0.0417,-0.627,-0.6258,-0.4295,0.4454,0.3655,0.0061,0,-0.7589,-0.4822,0.755,-0.4254
-0.5874,-1.2144,-0.627,-0.3196,-0.4641,-0.7782,-0.5753,0.0061,1,-0.7589,2.069,0.755,-0.73
-0.5874,0.8147,-0.627,-0.283,-0.4955,-0.3514,-0.1411,0.0061,1,1.3145,-0.4822,0.755,-0.4254
-0.5874,-0.6829,-0.627,-1.1252,-0.5904,1.1569,0.5102,0.0061,0,-0.7589,-0.4822,0.755,-0.3238
-0.6611,0.5248,-0.627,0.0091,-0.6242,-0.3229,-0.5029,0.0061,0,1.3145,-0.4822,-1.3213,-0.4254
-0.7716,-1.6008,-0.627,-1.5428,-0.6925,-1.0913,0.4378,0.0061,0,-0.7589,-0.4822,-1.3213,-0.4254
-0.7495,-1.0211,-0.627,-1.825,-0.7047,0.8154,-0.2858,0.0061,0,-0.7589,-0.4822,0.755,-0.73
0.1789,-0.9245,-1.537,-0.9785,-0.0147,-0.1522,-0.9371,-0.8465,0,-0.7589,2.069,0.755,-0.73
-0.499,-0.2965,-1.537,0.6919,-0.6125,-0.2091,1.0891,-0.8465,0,1.3145,-0.4822,-1.3213,-0.4254
0.6652,-0.9728,1.193,1.2491,2.3296,-0.1522,-0.0687,-0.8465,1,-0.7589,-0.4822,0.755,2.2147
-0.44,-0.8279,1.193,-0.132,0.6226,-0.8636,-0.8648,-0.8465,0,1.3145,-0.4822,0.755,2.2147
-0.5874,-0.8279,1.193,0.2334,0.3502,-1.6319,-2.9634,-0.8465,1,-0.7589,2.069,0.755,1.0978
-0.5432,-0.4897,1.193,0.2912,0.2101,0.9008,0.0036,-0.8465,1,-0.7589,2.069,0.755,2.2147
0.0021,0.4765,1.193,1.3945,0.1457,1.0431,0.0036,-0.8465,0,-0.7589,-0.4822,0.755,0.5901
0.0757,-0.0066,1.193,-0.4805,0.1151,-0.266,-0.2858,-0.8465,0,-0.7589,-0.4822,0.755,0.4885
0.3705,-0.1032,1.193,0.7949,-0.2527,0.9861,0.872,-0.8465,1,1.3145,-0.4822,-1.3213,2.2147
0.1494,-0.9728,1.193,-0.314,-0.2961,2.6082,0.1484,-0.8465,0,-0.7589,2.069,0.755,2.2147
-0.2927,3.1819,1.193,-0.0544,-0.3912,-0.6075,1.3786,-0.8465,0,-0.7589,-0.4822,0.755,1.0978
-0.7642,-0.7312,1.193,0.2066,-0.4592,-1.1766,1.0891,-0.8465,1,-0.7589,2.069,-1.3213,1.0978
