budget,runtime,year,vote_average,popularity,core_actor,actor_avg_age,month,profitable,Horror,Drama,company_freq,google_trend
72000000,83,2023,7.5,853.91,50.0,32.0,12,1,0,0,0,73
125000000,117,2023,7.193,400.772,120.0,28.0,12,1,0,0,1,73
25000000,104,2023,7.073,375.097,258.0,31.0,12,1,0,0,1,82
35000000,142,2023,7.809,356.631,89.0,53.0,12,1,0,0,1,73
205000000,124,2023,6.793,273.622,92.0,43.0,12,1,0,0,1,82
15000000,105,2023,7.24,164.51,48.0,30.0,12,1,0,1,1,77
15900000,132,2023,7.614,106.366,84.0,32.0,12,1,0,1,1,82
95000000,131,2023,6.49,91.069,49.0,24.0,12,0,0,1,1,77
40000000,124,2023,7.366,64.937,42.0,52.0,12,1,0,1,1,100
95000000,141,2023,6.989,48.661,50.0,71.0,12,0,0,1,1,100
16000000,98,2023,6.2,29.628,42.0,32.0,12,0,0,1,1,72
38000000,141,2023,6.2,22.541,31.0,37.0,12,0,0,1,0,73
10000000,101,2023,5.819,13.692,34.0,23.0,12,0,0,1,0,73
15000000,170,2023,8.8,13.118,26.0,44.0,12,1,0,0,0,72
340000000,142,2023,7.129,358.898,178.0,52.0,5,1,0,0,1,67
100000000,140,2023,8.37,230.045,57.0,32.0,5,1,0,0,1,77
250000000,150,2023,7.975,162.828,57.0,47.0,5,1,0,0,1,64
297000000,135,2023,6.389,125.385,47.0,74.0,5,1,0,0,1,67
70000000,93,2023,6.263,71.858,90.0,45.0,5,0,0,0,1,64
30000000,119,2023,6.9,68.947,63.0,28.0,5,0,0,0,0,68
41900000,99,2023,6.456,43.034,38.0,27.0,5,1,1,0,1,77
9000000,104,2023,6.616,23.2,43.0,47.0,5,1,0,1,1,64
29100000,90,2023,6.171,20.371,90.0,59.0,5,0,0,0,1,68
20000000,108,2023,6.4,20.166,75.0,80.0,5,1,0,0,1,64
1700000,113,2023,5.7,7.106,9.0,12.0,5,0,0,1,0,64
195000000,127,2023,7.3,288.039,28.0,41.0,6,1,0,0,1,71
200000000,102,2023,7.656,225.423,19.0,42.0,6,1,0,0,1,76
220000000,144,2023,6.754,209.107,46.0,36.0,6,1,0,0,1,76
294700000,155,2023,6.6,123.532,83.0,60.0,6,1,0,0,0,72
70000000,91,2023,7.293,99.893,40.0,54.0,6,0,0,0,1,72
12000000,106,2023,7.8,84.971,40.0,41.0,6,1,0,1,1,77
45000000,104,2023,6.832,67.4,91.0,33.0,6,1,0,0,1,76
25000000,105,2023,6.497,52.147,149.0,49.0,6,1,0,1,0,71
20000000,95,2023,6.828,33.356,69.0,48.0,6,0,0,0,1,74
5000000,97,2023,6.043,21.862,23.0,36.0,6,1,1,0,0,76
18000000,123,2020,6.875,29.838,59.0,39.0,6,0,0,1,0,55
20600000,103,2020,5.0,21.102,84.0,51.0,6,0,0,1,1,55
3000000,107,2022,7.204,100.733,29.0,27.0,8,1,0,0,1,65
90000000,126,2022,7.476,88.467,85.0,39.0,8,1,0,0,1,69
14000000,95,2022,6.818,75.556,41.0,35.0,8,1,0,1,1,58
60000000,108,2022,6.888,44.162,79.0,55.0,8,0,0,1,1,58
2000000,97,2022,6.738,40.579,57.0,29.0,8,1,0,1,0,65
10000000,105,2022,6.173,32.88,39.0,44.0,8,1,1,1,1,58
3000000,94,2022,6.314,26.081,31.0,26.0,8,1,1,0,1,69
17000000,96,2022,6.0,16.457,19.0,27.0,8,0,0,0,0,69
129000000,116,2023,6.583,166.716,178.0,40.0,8,1,1,0,1,83
70000000,109,2023,7.37,140.424,95.0,43.0,8,1,0,0,1,67
60000000,135,2023,7.858,130.308,59.0,41.0,8,1,0,1,1,76
104000000,128,2023,6.805,112.549,22.0,25.0,8,1,0,0,1,69
20000000,91,2023,6.752,92.522,102.0,47.0,8,0,0,0,0,67
46000000,93,2023,7.372,85.503,57.0,53.0,8,0,0,0,1,69
45000000,119,2023,6.946,84.767,43.0,42.0,8,0,1,0,0,76
11300000,91,2023,6.725,43.36,26.0,27.0,8,1,0,0,0,67
3000000,92,2023,6.2,12.218,24.0,29.0,8,0,0,1,0,67
40000000,119,2021,7.6,158.674,178.0,53.0,4,1,0,0,1,57
20000000,110,2021,7.052,78.392,27.0,39.0,4,1,0,0,1,53
20000000,108,2021,5.984,32.459,65.0,32.0,4,0,0,0,0,53
250000,78,2021,7.207,15.799,35.0,31.0,4,0,0,1,0,54
6750000,112,2021,5.4,5.941,44.0,63.0,4,0,0,1,0,54
20000000,101,2021,4.4,4.969,10.0,35.0,4,0,0,0,0,53
200000000,134,2021,7.26,111.752,149.0,38.0,7,1,0,0,1,67
185000000,132,2021,7.529,105.563,96.0,43.0,7,0,0,0,1,59
150000000,115,2021,6.8,64.57,50.0,39.0,7,1,0,0,1,67
200000000,127,2021,7.388,61.402,89.0,46.0,7,1,0,0,1,59
18000000,108,2021,6.362,49.977,43.0,47.0,7,1,1,0,1,60
20000000,139,2021,6.643,41.071,98.0,42.0,7,0,0,1,0,59
30000000,114,2021,6.35,35.517,79.0,46.0,7,0,0,0,1,59
15000000,88,2021,6.567,32.648,36.0,33.0,7,1,1,0,1,56
15000000,130,2021,6.593,30.039,51.0,39.0,7,1,0,1,1,59
15000000,99,2021,5.996,22.173,104.0,48.0,7,0,0,0,1,60
10000000,124,2021,6.8,19.367,52.0,34.0,7,0,0,1,0,59
2500000,80,2021,5.7,13.706,25.0,47.0,7,0,0,0,0,59
4000000,92,2021,5.5,12.695,92.0,37.0,7,0,0,0,1,56
67000000,94,2020,6.1,69.91,58.0,28.0,4,0,1,0,1,56
21000000,107,2020,7.284,20.337,56.0,56.0,4,0,0,1,0,59
100000000,93,2023,7.679,264.319,58.0,40.0,4,1,0,0,1,85
25000000,96,2023,6.7,122.763,33.0,29.0,4,0,0,1,1,85
18000000,103,2023,7.0,88.558,95.0,41.0,4,1,1,0,1,85
55000000,123,2023,7.782,83.215,100.0,41.0,4,0,0,0,1,69
60000000,113,2023,6.453,80.68,54.0,37.0,4,0,0,0,1,68
80000000,111,2023,7.357,50.173,98.0,53.0,4,1,0,1,0,85
65000000,93,2023,6.571,46.58,155.0,43.0,4,0,1,0,1,85
35000000,179,2023,6.755,38.693,42.0,60.0,4,0,0,0,1,74
3000000,98,2023,6.94,33.053,22.0,56.0,4,1,1,0,0,74
41000000,101,2023,6.145,30.022,62.0,47.0,4,0,0,0,1,74
32000000,129,2023,7.63,27.864,15.0,23.0,4,0,0,1,0,68
35000000,104,2023,6.2,22.604,33.0,30.0,4,0,0,1,1,69
40000000,108,2023,6.577,230.772,73.0,45.0,10,0,0,0,0,74
200000000,206,2023,7.494,205.74,90.0,55.0,10,0,0,1,0,77
95000000,91,2023,7.3,177.546,64.0,42.0,10,1,0,0,1,77
20000000,110,2023,7.65,168.232,71.0,23.0,10,1,1,0,1,83
13000000,133,2023,7.729,109.141,66.0,38.0,10,1,0,1,0,83
30000000,111,2023,6.005,95.054,19.0,14.0,10,1,1,0,1,74
20000000,110,2023,6.954,69.977,54.0,36.0,10,1,0,1,0,83
10000000,127,2023,8.4,66.003,34.0,20.0,10,1,0,1,0,77
15000000,169,2023,8.366,59.355,34.0,11.0,10,1,0,0,0,77
175000000,118,2023,6.587,44.135,58.0,53.0,10,0,0,0,0,83
12000000,118,2023,5.938,23.94,27.0,28.0,10,0,0,0,0,74
40000000,106,2023,7.424,13.021,10.0,46.0,10,0,0,1,0,83
