id,title,budget,release_date,revenue,runtime,vote_average,vote_count,popularity,genres,production_companies,overview,year,month
940551,Migration,72000000,2023-12-06,295556285,83,7.5,1203,853.91,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']",[6704],"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",2023,12
787699,Wonka,125000000,2023-12-06,632302312,117,7.193,2852,400.772,"['Comedy', 'Family', 'Fantasy']","[174, 79, 214904, 437, 216687]","Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",2023,12
1072790,Anyone But You,25000000,2023-12-21,214891370,104,7.073,1349,375.097,"['Romance', 'Comedy']","[7291, 105052, 124283, 5]","After an amazing first date, Bea and Ben’s fiery attraction turns ice cold — until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",2023,12
792307,Poor Things,35000000,2023-12-07,114912799,142,7.809,3131,356.631,"['Science Fiction', 'Romance', 'Comedy']","[127929, 6705, 22213, 3353, 72597, 138287]","Brought back to life by an unorthodox scientist, a young woman runs off with a debauched lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",2023,12
572802,Aquaman and the Lost Kingdom,205000000,2023-12-20,434381226,124,6.793,2271,273.622,"['Action', 'Adventure', 'Fantasy']","[174, 11565, 76907, 128064, 216687]","Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.",2023,12
467244,The Zone of Interest,15000000,2023-12-15,37742591,105,7.24,1147,164.51,"['History', 'Drama', 'War']","[41077, 6705, 103376, 11240, 27543, 113962]","The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in a house and garden next to the camp.",2023,12
850165,The Iron Claw,15900000,2023-12-21,40130232,132,7.614,440,106.366,"['Drama', 'History']","[41077, 288, 103376, 112783]","The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s. Through tragedy and triumph, under the shadow of their domineering father and coach, the brothers seek larger-than-life immortality on the biggest stage in sports.",2023,12
365620,Ferrari,95000000,2023-12-14,39220516,131,6.49,655,91.069,"['History', 'Drama']","[675, 122392, 47729, 39734, 207015, 211318]","Set during the summer of 1957. Ex-racecar driver, Enzo Ferrari, is in crisis. Bankruptcy stalks the company he and his wife, Laura, built from nothing ten years earlier. Their tempestuous marriage struggles with the mourning for one son and the acknowledgement of another.",2023,12
823452,The Boys in the Boat,40000000,2023-12-25,54401583,124,7.366,142,64.937,"['Drama', 'History']","[1782, 21, 143790]","The triumphant underdog story of the University of Washington men's rowing team, who stunned the world by competing at the 1936 Berlin Olympics.",2023,12
558915,The Color Purple,95000000,2023-12-25,66025125,141,6.989,176,48.661,['Drama'],"[174, 3298, 56, 150841, 200643, 216687]","A decades-spanning tale of love and resilience and of one woman's journey to independence. Celie faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.",2023,12
664341,Eileen,16000000,2023-12-01,1560142,98,6.2,120,29.628,"['Drama', 'Thriller', 'Crime']","[1785, 6705, 169332, 181874, 162995]","During a bitter 1964 Massachusetts winter, young secretary Eileen becomes enchanted by Rebecca Saint John, the glamorous new counselor at the prison where she works. Their budding friendship takes a twisted turn when Rebecca reveals a dark secret — throwing Eileen onto a sinister path.",2023,12
753336,Origin,38000000,2023-12-08,4474931,141,6.2,27,22.541,['Drama'],"[138297, 191961]","While grappling with tremendous personal tragedy, writer Isabel Wilkerson sets herself on a path of global investigation and discovery.",2023,12
973778,The End We Start From,10000000,2023-12-08,604830,101,5.819,36,13.692,"['Drama', 'Thriller']","[92346, 122908, 138743, 288, 184518]","As London is submerged below floodwaters, a woman gives birth to her first child. Days later, she and her baby are forced to leave their home in search of safety. They head north through a newly dangerous country seeking refuge from place to place.",2023,12
1185743,Renaissance: A Film by Beyoncé,15000000,2023-12-01,44029271,170,8.8,22,13.118,"['Music', 'Documentary']",[21435],"Accentuates the journey of Renaissance World Tour, from its inception, to the opening in Stockholm, Sweden, to the finale in Kansas City, Missouri. It is about Beyoncé’s intention, hard work, involvement in every aspect of the production, her creative mind and purpose to create her legacy, and master her craft. Received with extraordinary acclaim, Beyoncé’s Renaissance World Tour created a sanctuary for freedom, and shared joy, for more than 2.7 million fans.",2023,12
385687,Fast X,340000000,2023-05-17,704709660,142,7.129,5058,358.898,"['Action', 'Crime', 'Thriller']","[33, 333, 1225, 34530]","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",2023,5
569094,Spider-Man: Across the Spider-Verse,100000000,2023-05-31,690615475,140,8.37,6166,230.045,"['Animation', 'Action', 'Adventure', 'Science Fiction']","[5, 2251, 77973, 84041, 14439, 7505]","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2023,5
447365,Guardians of the Galaxy Vol. 3,250000000,2023-05-03,845600000,150,7.975,6182,162.828,"['Science Fiction', 'Adventure', 'Action', 'Comedy']","[420, 176762]","Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",2023,5
447277,The Little Mermaid,297000000,2023-05-18,569600000,135,6.389,2710,125.385,"['Adventure', 'Family', 'Fantasy', 'Romance']","[2, 17021, 2527]","The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",2023,5
536437,Hypnotic,70000000,2023-05-11,16014123,93,6.263,1055,71.858,"['Mystery', 'Thriller', 'Action', 'Science Fiction']","[77863, 52180, 290, 158413]",A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.,2023,5
717930,Kandahar,30000000,2023-05-25,9400000,119,6.9,915,68.947,"['Action', 'Thriller']","[3528, 103331, 145428, 154063]","After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.",2023,5
532408,The Boogeyman,41900000,2023-05-31,66978229,99,6.456,765,43.034,"['Horror', 'Thriller', 'Mystery']","[2575, 127928]","Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it’s too late.",2023,5
758336,Love Again,9000000,2023-05-04,10000000,104,6.616,275,23.2,"['Romance', 'Drama', 'Comedy']","[3287, 3528, 84792]","Mira Ray, dealing with the loss of her fiancé, sends a series of romantic texts to his old cell phone number… not realizing the number was reassigned to Rob Burns' new work phone. A journalist, Rob is captivated by the honesty in the beautifully confessional texts. When he’s assigned to write a profile of megastar Céline Dion, he enlists her help in figuring out how to meet Mira in person and win her heart.",2023,5
829051,About My Father,29100000,2023-05-25,18167819,90,6.171,249,20.371,['Comedy'],"[1632, 1473]","Encouraged by his fiancee, a man and his father spend the weekend with her wealthy and exceedingly eccentric family. The gathering soon develops into a culture clash, allowing father and son to discover the true meaning of family.",2023,5
982271,Book Club: The Next Chapter,20000000,2023-05-11,27849137,108,6.4,138,20.166,"['Comedy', 'Romance']","[106839, 181874, 197937, 10146, 33]","Four best friends take their book club to Italy for the fun girls' trip they never had. When things go off the rails and secrets are revealed, their relaxing vacation turns into a once-in-a-lifetime cross-country adventure.",2023,5
540549,Monica,1700000,2023-05-12,182000,113,5.7,19,7.106,['Drama'],"[1583, 119360, 103150, 104129, 36227, 107364, 180885, 25140, 181611, 181612]","After years of estrangement, a trans woman returns home to help care for her dying mother.",2023,5
667538,Transformers: Rise of the Beasts,195000000,2023-06-06,439000000,127,7.3,4204,288.039,"['Action', 'Adventure', 'Science Fiction']","[82819, 4, 435, 6734, 114732, 38831, 2598]","When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",2023,6
976573,Elemental,200000000,2023-06-14,496000000,102,7.656,3953,225.423,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance', 'Adventure']","[2, 3]","In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",2023,6
298618,The Flash,220000000,2023-06-13,271333313,144,6.754,3822,209.107,"['Action', 'Adventure', 'Science Fiction']","[174, 152809, 170335, 128064]","When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",2023,6
335977,Indiana Jones and the Dial of Destiny,294700000,2023-06-28,383900000,155,6.6,2985,123.532,"['Adventure', 'Action']",[1],"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",2023,6
1040148,"Ruby Gillman, Teenage Kraken",70000000,2023-06-28,45000000,91,7.293,887,99.893,"['Animation', 'Family', 'Fantasy', 'Comedy']","[521, 1778, 33]","Ruby Gillman, a sweet and awkward high school student, discovers she's a direct descendant of the warrior kraken queens. The kraken are sworn to protect the oceans of the world against the vain, power-hungry mermaids. Destined to inherit the throne from her commanding grandmother, Ruby must use her newfound powers to protect those she loves most.",2023,6
666277,Past Lives,12000000,2023-06-02,28126646,106,7.8,1233,84.971,"['Drama', 'Romance']","[41077, 1422, 158407, 128404]","Nora and Hae Sung, two childhood friends, are reunited in New York for one fateful week as they confront notions of destiny, love, and the choices that make a life.",2023,6
884605,No Hard Feelings,45000000,2023-06-15,83000000,104,6.832,2602,67.4,"['Comedy', 'Romance']","[117188, 86647, 5, 194285]","On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",2023,6
747188,Asteroid City,25000000,2023-06-08,47281670,105,6.497,1563,52.147,"['Comedy', 'Drama']","[23449, 9350]","In an American desert town circa 1955, the itinerary of a Junior Stargazer/Space Cadet convention is spectacularly disrupted by world-changing events.",2023,6
