budget,runtime,year,vote_average,popularity,profitable,Horror,Drama,google_trend
0.2528,-1.4578,1.203,1.0011,9.4988,1,-0.4817,-0.7505,1.0066
1.0385,0.192,1.203,0.5661,4.0,1,-0.4817,-0.7505,1.0066
-0.4439,-0.4388,1.203,0.3961,3.6885,1,-0.4817,-0.7505,1.9235
-0.2957,1.4051,1.203,1.4389,3.4644,1,-0.4817,-0.7505,1.0066
2.2244,0.5317,1.203,-0.0006,2.4571,1,-0.4817,-0.7505,1.9235
-0.5921,-0.3903,1.203,0.6327,1.133,1,-0.4817,1.3293,1.4141
-0.5788,0.9199,1.203,1.1626,0.4274,1,-0.4817,1.3293,1.9235
0.5938,0.8714,1.203,-0.4299,0.2418,0,-0.4817,1.3293,1.4141
-0.2215,0.5317,1.203,0.8112,-0.0753,1,-0.4817,1.3293,3.7573
0.5938,1.3566,1.203,0.2771,-0.2728,0,-0.4817,1.3293,3.7573
-0.5773,-0.7299,1.203,-0.8408,-0.5038,0,-0.4817,1.3293,0.9047
-0.2512,1.3566,1.203,-0.8408,-0.5898,0,-0.4817,1.3293,1.0066
-0.6663,-0.5843,1.203,-1.3807,-0.6972,0,-0.4817,1.3293,1.0066
-0.5921,2.7638,1.203,2.843,-0.7041,1,-0.4817,-0.7505,0.9047
4.2257,1.4051,1.203,0.4755,3.4919,1,-0.4817,-0.7505,0.3953
0.6679,1.3081,1.203,2.2338,1.9283,1,-0.4817,-0.7505,1.4141
2.8915,1.7933,1.203,1.6741,1.1126,1,-0.4817,-0.7505,0.0896
3.5882,1.0655,1.203,-0.573,0.6582,1,-0.4817,-0.7505,0.3953
0.2232,-0.9725,1.203,-0.7516,0.0087,0,-0.4817,-0.7505,0.0896
-0.3698,0.2891,1.203,0.151,-0.0267,0,-0.4817,-0.7505,0.4971
-0.1934,-0.6814,1.203,-0.4781,-0.3411,1,2.0712,-0.7505,1.4141
-0.6811,-0.4388,1.203,-0.2514,-0.5818,1,-0.4817,1.3293,0.0896
