begin_date,interest
2019-12-29,81
2020-01-05,60
2020-01-12,59
2020-01-19,62
2020-01-26,53
2020-02-02,53
2020-02-09,67
2020-02-16,60
2020-02-23,54
2020-03-01,53
2020-03-08,53
2020-03-15,58
2020-03-22,59
2020-03-29,56
2020-04-05,61
2020-04-12,59
2020-04-19,55
2020-04-26,51
2020-05-03,53
2020-05-10,54
2020-05-17,52
2020-05-24,52
2020-05-31,48
2020-06-07,50
2020-06-14,53
2020-06-21,55
2020-06-28,56
2020-07-05,54
2020-07-12,51
2020-07-19,52
2020-07-26,50
2020-08-02,49
2020-08-09,49
2020-08-16,48
2020-08-23,51
2020-08-30,49
2020-09-06,55
2020-09-13,49
2020-09-20,47
2020-09-27,46
2020-10-04,51
2020-10-11,50
2020-10-18,58
2020-10-25,59
2020-11-01,43
2020-11-08,49
2020-11-15,52
2020-11-22,59
2020-11-29,51
2020-12-06,54
2020-12-13,62
2020-12-20,67
2020-12-27,66
2021-01-03,51
2021-01-10,50
2021-01-17,51
2021-01-24,54
2021-01-31,54
2021-02-07,50
2021-02-14,59
2021-02-21,52
2021-02-28,55
2021-03-07,50
2021-03-14,51
2021-03-21,50
2021-03-28,54
2021-04-04,53
2021-04-11,48
2021-04-18,57
2021-04-25,52
2021-05-02,50
2021-05-09,54
2021-05-16,53
2021-05-23,53
2021-05-30,62
2021-06-06,61
2021-06-13,55
2021-06-20,57
2021-06-27,56
2021-07-04,67
2021-07-11,59
2021-07-18,60
2021-07-25,59
2021-08-01,57
2021-08-08,58
2021-08-15,56
2021-08-22,56
2021-08-29,54
2021-09-05,57
2021-09-12,51
2021-09-19,56
2021-09-26,56
2021-10-03,56
2021-10-10,58
2021-10-17,62
2021-10-24,65
2021-10-31,61
2021-11-07,58
2021-11-14,52
2021-11-21,65
2021-11-28,55
2021-12-05,57
2021-12-12,64
2021-12-19,78
2021-12-26,78
2022-01-02,66
2022-01-09,62
2022-01-16,58
2022-01-23,58
2022-01-30,58
2022-02-06,61
2022-02-13,63
2022-02-20,60
2022-02-27,57
2022-03-06,61
2022-03-13,62
2022-03-20,60
2022-03-27,63
2022-04-03,59
2022-04-10,62
2022-04-17,59
2022-04-24,56
2022-05-01,57
2022-05-08,57
2022-05-15,59
2022-05-22,62
2022-05-29,64
2022-06-05,68
2022-06-12,67
2022-06-19,72
2022-06-26,72
2022-07-03,73
2022-07-10,67
2022-07-17,71
2022-07-24,66
2022-07-31,69
2022-08-07,65
2022-08-14,61
2022-08-21,58
2022-08-28,60
2022-09-04,65
2022-09-11,58
2022-09-18,58
2022-09-25,64
2022-10-02,69
2022-10-09,67
2022-10-16,62
2022-10-23,60
2022-10-30,59
2022-11-06,59
2022-11-13,58
2022-11-20,69
2022-11-27,60
2022-12-04,59
2022-12-11,63
2022-12-18,73
2022-12-25,79
2023-01-01,69
2023-01-08,67
2023-01-15,70
2023-01-22,64
2023-01-29,64
2023-02-05,59
2023-02-12,63
2023-02-19,63
2023-02-26,63
2023-03-05,65
2023-03-12,71
2023-03-19,64
2023-03-26,66
2023-04-02,85
2023-04-09,74
2023-04-16,69
2023-04-23,68
2023-04-30,64
2023-05-07,64
2023-05-14,67
2023-05-21,68
2023-05-28,77
2023-06-04,71
2023-06-11,76
2023-06-18,74
2023-06-25,72
2023-07-02,81
2023-07-09,82
2023-07-16,97
2023-07-23,100
2023-07-30,83
2023-08-06,76
2023-08-13,69
2023-08-20,67
2023-08-27,67
2023-09-03,68
2023-09-10,63
2023-09-17,60
2023-09-24,67
2023-10-01,74
2023-10-08,77
2023-10-15,77
2023-10-22,83
2023-10-29,77
2023-11-05,68
2023-11-12,70
2023-11-19,89
2023-11-26,72
2023-12-03,73
2023-12-10,77
2023-12-17,82
2023-12-24,100
2023-12-31,83
