budget,runtime,year,release_date,genres,vote_average,popularity,core_actor,actor_avg_age,production_companies,month,profitable,Romance,Science Fiction,Action,Drama,Thriller,Adventure,Mystery,Fantasy,Comedy,Family,Crime,Music,Documentary,History,Horror,Animation,Western,War
72000000.0,83.0,2023.0,2023/12/6,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']",7.5,853.91,50.0,32.0,[6704],12.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
125000000.0,117.0,2023.0,2023/12/6,"['Comedy', 'Family', 'Fantasy']",7.193,400.772,120.0,28.0,"[174, 79, 214904, 437, 216687]",12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000000.0,104.0,2023.0,2023/12/21,"['Romance', 'Comedy']",7.073,375.097,258.0,31.0,"[7291, 105052, 124283, 5]",12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35000000.0,142.0,2023.0,2023/12/7,"['Science Fiction', 'Romance', 'Comedy']",7.809,356.631,89.0,53.0,"[127929, 6705, 22213, 3353, 72597, 138287]",12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205000000.0,124.0,2023.0,2023/12/20,"['Action', 'Adventure', 'Fantasy']",6.793,273.622,92.0,43.0,"[174, 11565, 76907, 128064, 216687]",12.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000000.0,105.0,2023.0,2023/12/15,"['History', 'Drama', 'War']",7.24,164.51,48.0,30.0,"[41077, 6705, 103376, 11240, 27543, 113962]",12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15900000.0,132.0,2023.0,2023/12/21,"['Drama', 'History']",7.614,106.366,84.0,32.0,"[41077, 288, 103376, 112783]",12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
95000000.0,131.0,2023.0,2023/12/14,"['History', 'Drama']",6.49,91.069,49.0,24.0,"[675, 122392, 47729, 39734, 207015, 211318]",12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40000000.0,124.0,2023.0,2023/12/25,"['Drama', 'History']",7.366,64.937,42.0,52.0,"[1782, 21, 143790]",12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
95000000.0,141.0,2023.0,2023/12/25,['Drama'],6.989,48.661,50.0,71.0,"[174, 3298, 56, 150841, 200643, 216687]",12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16000000.0,98.0,2023.0,2023/12/1,"['Drama', 'Thriller', 'Crime']",6.2,29.628,42.0,32.0,"[1785, 6705, 169332, 181874, 162995]",12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38000000.0,141.0,2023.0,2023/12/8,['Drama'],6.2,22.541,31.0,37.0,"[138297, 191961]",12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000000.0,101.0,2023.0,2023/12/8,"['Drama', 'Thriller']",5.819,13.692,34.0,23.0,"[92346, 122908, 138743, 288, 184518]",12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000000.0,170.0,2023.0,2023/12/1,"['Music', 'Documentary']",8.8,13.118,26.0,44.0,[21435],12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
340000000.0,142.0,2023.0,2023/5/17,"['Action', 'Crime', 'Thriller']",7.129,358.898,178.0,52.0,"[33, 333, 1225, 34530]",5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000000.0,140.0,2023.0,2023/5/31,"['Animation', 'Action', 'Adventure', 'Science Fiction']",8.37,230.045,57.0,32.0,"[5, 2251, 77973, 84041, 14439, 7505]",5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
250000000.0,150.0,2023.0,2023/5/3,"['Science Fiction', 'Adventure', 'Action', 'Comedy']",7.975,162.828,57.0,47.0,"[420, 176762]",5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297000000.0,135.0,2023.0,2023/5/18,"['Adventure', 'Family', 'Fantasy', 'Romance']",6.389,125.385,47.0,74.0,"[2, 17021, 2527]",5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70000000.0,93.0,2023.0,2023/5/11,"['Mystery', 'Thriller', 'Action', 'Science Fiction']",6.263,71.858,90.0,45.0,"[77863, 52180, 290, 158413]",5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000000.0,119.0,2023.0,2023/5/25,"['Action', 'Thriller']",6.9,68.947,63.0,28.0,"[3528, 103331, 145428, 154063]",5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41900000.0,99.0,2023.0,2023/5/31,"['Horror', 'Thriller', 'Mystery']",6.456,43.034,38.0,27.0,"[2575, 127928]",5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9000000.0,104.0,2023.0,2023/5/4,"['Romance', 'Drama', 'Comedy']",6.616,23.2,43.0,47.0,"[3287, 3528, 84792]",5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29100000.0,90.0,2023.0,2023/5/25,['Comedy'],6.171,20.371,90.0,59.0,"[1632, 1473]",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000000.0,108.0,2023.0,2023/5/11,"['Comedy', 'Romance']",6.4,20.166,75.0,80.0,"[106839, 181874, 197937, 10146, 33]",5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700000.0,113.0,2023.0,2023/5/12,['Drama'],5.7,7.106,9.0,12.0,"[1583, 119360, 103150, 104129, 36227, 107364, 180885, 25140, 181611, 181612]",5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195000000.0,127.0,2023.0,2023/6/6,"['Action', 'Adventure', 'Science Fiction']",7.3,288.039,28.0,41.0,"[82819, 4, 435, 6734, 114732, 38831, 2598]",6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000000.0,102.0,2023.0,2023/6/14,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance', 'Adventure']",7.656,225.423,19.0,42.0,"[2, 3]",6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
220000000.0,144.0,2023.0,2023/6/13,"['Action', 'Adventure', 'Science Fiction']",6.754,209.107,46.0,36.0,"[174, 152809, 170335, 128064]",6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294700000.0,155.0,2023.0,2023/6/28,"['Adventure', 'Action']",6.6,123.532,83.0,60.0,[1],6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70000000.0,91.0,2023.0,2023/6/28,"['Animation', 'Family', 'Fantasy', 'Comedy']",7.293,99.893,40.0,54.0,"[521, 1778, 33]",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12000000.0,106.0,2023.0,2023/6/2,"['Drama', 'Romance']",7.8,84.971,40.0,41.0,"[41077, 1422, 158407, 128404]",6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45000000.0,104.0,2023.0,2023/6/15,"['Comedy', 'Romance']",6.832,67.4,91.0,33.0,"[117188, 86647, 5, 194285]",6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000000.0,105.0,2023.0,2023/6/8,"['Comedy', 'Drama']",6.497,52.147,149.0,49.0,"[23449, 9350]",6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000000.0,95.0,2023.0,2023/6/22,['Comedy'],6.828,33.356,69.0,48.0,"[1632, 16615, 195015]",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000000.0,97.0,2023.0,2023/6/15,"['Horror', 'Comedy']",6.043,21.862,23.0,36.0,"[2531, 150758, 106497, 194681, 77061]",6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18000000.0,123.0,2020.0,2020/6/24,"['War', 'Drama', 'History', 'Action']",6.875,29.838,59.0,39.0,"[1020, 105330, 137004]",6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20600000.0,103.0,2020.0,2020/6/26,"['Crime', 'Drama']",5.0,21.102,84.0,51.0,"[13240, 59, 104213, 53152, 2253, 100640, 167333]",6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000000.0,107.0,2022.0,2022/8/11,['Thriller'],7.204,100.733,29.0,27.0,"[155758, 125401, 154063, 1632]",8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90000000.0,126.0,2022.0,2022/8/3,"['Action', 'Comedy', 'Thriller']",7.476,88.467,85.0,39.0,"[121470, 5]",8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000000.0,95.0,2022.0,2022/8/24,"['Romance', 'Drama']",6.818,75.556,41.0,35.0,"[6626, 107108, 88606, 158529, 107107]",8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60000000.0,108.0,2022.0,2022/8/24,"['Drama', 'Fantasy', 'Romance']",6.888,44.162,79.0,55.0,"[7493, 142069, 192426, 28382]",8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
